Unnamed: 0,w_tract,h_tract,workers,w_county,h_county,HomeX,HomeY,w_point,GEOIDHome,X,Y,WorkX,WorkY
2,51036600100,51036600300,16,Charles City,Charles City,-76.97673227,37.33100999,POINT (-77.19172130016469 37.384721328220856),51036600300,-77.19172130016469,37.384721328220856,-77.1917213,37.38472133
1,51036600100,51036600200,36,Charles City,Charles City,-77.1088509,37.38383884,POINT (-77.19172130016469 37.384721328220856),51036600200,-77.19172130016469,37.384721328220856,-77.1917213,37.38472133
0,51036600100,51036600100,62,Charles City,Charles City,-77.1917213,37.38472133,POINT (-77.19172130016469 37.384721328220856),51036600100,-77.19172130016469,37.384721328220856,-77.1917213,37.38472133
5,51036600200,51036600300,16,Charles City,Charles City,-76.97673227,37.33100999,POINT (-77.10885089608244 37.38383883655814),51036600300,-77.10885089608244,37.38383883655814,-77.1088509,37.38383884
4,51036600200,51036600200,66,Charles City,Charles City,-77.1088509,37.38383884,POINT (-77.10885089608244 37.38383883655814),51036600200,-77.10885089608244,37.38383883655814,-77.1088509,37.38383884
3,51036600200,51036600100,9,Charles City,Charles City,-77.1917213,37.38472133,POINT (-77.10885089608244 37.38383883655814),51036600100,-77.10885089608244,37.38383883655814,-77.1088509,37.38383884
8,51036600300,51036600300,113,Charles City,Charles City,-76.97673227,37.33100999,POINT (-76.97673226901811 37.33100999379624),51036600300,-76.97673226901811,37.33100999379624,-76.97673227,37.33100999
7,51036600300,51036600200,68,Charles City,Charles City,-77.1088509,37.38383884,POINT (-76.97673226901811 37.33100999379624),51036600200,-76.97673226901811,37.33100999379624,-76.97673227,37.33100999
6,51036600300,51036600100,35,Charles City,Charles City,-77.1917213,37.38472133,POINT (-76.97673226901811 37.33100999379624),51036600100,-76.97673226901811,37.33100999379624,-76.97673227,37.33100999
11,51041100107,51036600300,3,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.53518916791029 37.50805197166218),51036600300,-77.53518916791029,37.50805197166218,-77.53518917,37.50805197
10,51041100107,51036600200,2,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.53518916791029 37.50805197166218),51036600200,-77.53518916791029,37.50805197166218,-77.53518917,37.50805197
9,51041100107,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.53518916791029 37.50805197166218),51036600100,-77.53518916791029,37.50805197166218,-77.53518917,37.50805197
13,51041100206,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.53349070131567 37.454772729920776),51036600300,-77.53349070131567,37.454772729920776,-77.5334907,37.45477273
12,51041100206,51036600100,1,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.53349070131567 37.454772729920776),51036600100,-77.53349070131567,37.454772729920776,-77.5334907,37.45477273
16,51041100209,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.5438314050911 37.47720253677969),51036600300,-77.5438314050911,37.47720253677969,-77.54383141,37.47720254
15,51041100209,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.5438314050911 37.47720253677969),51036600200,-77.5438314050911,37.47720253677969,-77.54383141,37.47720254
14,51041100209,51036600100,3,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.5438314050911 37.47720253677969),51036600100,-77.5438314050911,37.47720253677969,-77.54383141,37.47720254
17,51041100210,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.52627644697338 37.48826539232156),51036600200,-77.52627644697338,37.48826539232156,-77.52627645,37.48826539
18,51041100211,51036600100,5,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.51523351543344 37.468847449319576),51036600100,-77.51523351543344,37.468847449319576,-77.51523352,37.46884745
19,51041100212,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.51523351543344 37.468847449319576),51036600100,-77.51523351543344,37.468847449319576,-77.51523352,37.46884745
22,51041100300,51036600300,2,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.44072056964792 37.45041860738069),51036600300,-77.44072056964792,37.45041860738069,-77.44072057,37.45041861
21,51041100300,51036600200,10,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.44072056964792 37.45041860738069),51036600200,-77.44072056964792,37.45041860738069,-77.44072057,37.45041861
20,51041100300,51036600100,13,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.44072056964792 37.45041860738069),51036600100,-77.44072056964792,37.45041860738069,-77.44072057,37.45041861
25,51041100403,51036600300,14,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.34009922724667 37.36551725826562),51036600300,-77.34009922724667,37.36551725826562,-77.34009923,37.36551726
24,51041100403,51036600200,29,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.34009922724667 37.36551725826562),51036600200,-77.34009922724667,37.36551725826562,-77.34009923,37.36551726
23,51041100403,51036600100,47,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.34009922724667 37.36551725826562),51036600100,-77.34009922724667,37.36551725826562,-77.34009923,37.36551726
27,51041100404,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.43318581777909 37.42339500150704),51036600200,-77.43318581777909,37.42339500150704,-77.43318582,37.423395
