w_tract,workers
51036600100,114
51036600200,91
51036600300,216
51041100107,7
51041100206,2
51041100209,5
51041100210,1
51041100211,5
51041100212,2
51041100300,25
51041100403,90
51041100404,3
51041100407,3
51041100409,17
51041100505,9
51041100506,6
51041100508,3
51041100509,30
51041100510,1
51041100600,2
51041100704,1
51041100805,1
51041100806,4
51041100807,1
51041100812,6
51041100814,1
51041100817,5
51041100820,6
51041100821,1
51041100822,6
51041100823,2
51041100902,3
51041100907,2
51041100910,1
51041100912,10
51041100915,8
51041100919,7
51041100920,6
51041100922,17
51041100923,2
51041100924,3
51041100926,2
51041100928,5
51041100929,1
51041100930,1
51041100933,1
51041100934,7
51041100937,2
51041100938,3
51041101004,5
51041101007,4
51041101009,1
51041101011,1
51041101012,3
51075400101,15
51075400102,8
51075400200,1
51075400400,2
51075400500,1
51085320200,4
51085320400,15
51085320601,11
51085320602,9
51085320702,3
51085320801,20
51085320803,3
51085320804,2
51085320805,1
51085320901,1
51085320902,23
51085321001,2
51085321003,5
51085321004,1
51085321100,12
51085321201,10
51085321202,3
51085321300,3
51085321402,4
51087200106,1
51087200108,1
51087200124,4
51087200125,1
51087200126,4
51087200127,3
51087200131,12
51087200132,1
51087200136,4
51087200138,6
51087200140,6
51087200141,2
51087200142,1
51087200144,6
51087200147,3
51087200148,6
51087200149,5
51087200150,26
51087200151,8
51087200152,2
51087200153,2
51087200201,1
51087200301,8
51087200302,15
51087200303,13
51087200305,9
51087200404,1
51087200407,3
51087200409,14
51087200412,2
51087200415,1
51087200416,1
51087200418,2
51087200501,14
51087200502,39
51087200503,21
51087200700,5
51087200801,15
51087200802,1
51087200805,11
51087200807,1
51087200904,9
51087200905,5
51087200907,6
51087200908,6
51087201001,2
51087201002,1
51087201104,40
51087201204,2
51087201205,10
51087201403,17
51087201404,48
51087201405,3
51087201406,53
51087201502,17
51087201503,1
51087201504,62
51087201601,4
51087201602,9
51087201701,7
51087980100,10
51127700100,33
51127700200,27
51127700301,57
51127700302,70
51145500101,2
51145500102,9
51145500202,1
51145500300,1
51760010201,2
51760010202,2
51760010401,2
51760010600,3
51760010700,5
51760010900,2
51760011000,1
51760011100,1
51760020501,2
51760020502,1
51760020600,2
51760021000,4
51760021100,4
51760021200,1
51760030100,1
51760030200,48
51760030501,14
51760030502,79
51760040201,4
51760040202,38
51760040300,4
51760040400,1
51760040500,4
51760040700,2
51760040800,7
51760041100,4
51760041300,2
51760050100,7
51760050300,1
51760050400,3
51760050500,7
51760050600,1
51760060200,10
51760060400,2
51760060700,5
51760060800,33
51760060900,10
51760061001,5
51760061002,16
51760070100,7
51760070400,1
51760070601,3
51760070602,4
51760070700,1
51760070802,3
51760070902,15
51760071003,2
51760071004,4
