w_tract,workers
51036600100,104
51036600200,17
51036600300,25
51041100106,49
51041100107,1641
51041100206,294
51041100208,72
51041100209,607
51041100210,403
51041100211,131
51041100212,79
51041100300,1191
51041100403,4654
51041100404,141
51041100405,36
51041100406,126
51041100407,307
51041100409,857
51041100410,189
51041100505,1249
51041100506,436
51041100507,97
51041100508,152
51041100509,2356
51041100510,63
51041100600,367
51041100701,129
51041100702,25
51041100704,126
51041100705,95
51041100804,207
51041100805,132
51041100806,451
51041100807,53
51041100812,604
51041100814,120
51041100815,89
51041100816,49
51041100817,8849
51041100818,73
51041100819,245
51041100820,1012
51041100821,579
51041100822,981
51041100823,539
51041100902,393
51041100907,663
51041100910,196
51041100912,745
51041100915,1232
51041100919,2058
51041100920,2448
51041100921,146
51041100922,2955
51041100923,419
51041100924,1234
51041100926,607
51041100928,1176
51041100929,277
51041100930,406
51041100931,1015
51041100932,61
51041100933,99
51041100934,644
51041100935,278
51041100936,290
51041100937,806
51041100938,187
51041101003,237
51041101004,283
51041101007,847
51041101008,389
51041101009,503
51041101011,275
51041101012,1000
51041101013,89
51041101014,77
51041101015,360
51075400101,2447
51075400102,1043
51075400200,117
51075400300,124
51075400400,160
51075400500,18
51085320100,134
51085320200,89
51085320300,80
51085320400,839
51085320500,31
51085320601,380
51085320602,403
51085320701,14
51085320702,53
51085320801,960
51085320803,134
51085320804,120
51085320805,19
51085320901,68
51085320902,1068
51085321001,141
51085321003,125
51085321004,5
51085321100,470
51085321201,290
51085321202,44
51085321300,318
51085321401,16
51085321402,21
51085321403,14
51087200106,186
51087200108,184
51087200109,55
51087200122,127
51087200123,29
51087200124,130
51087200125,16
51087200126,306
51087200127,157
51087200131,1054
51087200132,125
51087200133,38
51087200134,138
51087200135,53
51087200136,140
51087200137,8
51087200138,110
51087200139,18
51087200140,644
51087200141,419
51087200142,129
51087200143,20
51087200144,594
51087200145,31
51087200146,17
51087200147,51
51087200148,532
51087200149,187
51087200150,2938
51087200151,2299
51087200152,53
51087200153,332
51087200201,97
51087200202,78
51087200301,886
51087200302,1568
51087200303,1706
51087200305,622
51087200404,458
51087200407,341
51087200409,838
51087200411,66
51087200412,166
51087200413,110
51087200414,23
51087200415,31
51087200416,50
51087200417,161
51087200418,115
51087200501,1237
51087200502,2268
51087200503,1061
51087200600,15
51087200700,274
51087200801,903
51087200802,118
51087200805,489
51087200806,4
51087200807,29
51087200904,575
51087200905,221
51087200906,11
51087200907,591
51087200908,273
51087201001,69
51087201002,180
51087201003,77
51087201102,17
51087201103,26
51087201104,768
51087201203,21
51087201204,34
51087201205,274
51087201206,3
51087201403,30
51087201404,189
51087201405,116
51087201406,1088
51087201502,224
51087201503,23
51087201504,1102
51087201601,9
51087201602,290
51087201701,64
51087980100,252
51127700100,60
51127700200,31
51127700301,78
51127700302,86
51145500101,432
51145500102,536
51145500201,180
51145500202,135
51145500300,83
51145500400,155
51760010201,63
51760010202,191
51760010300,26
51760010401,29
51760010402,91
51760010500,4
51760010600,111
51760010700,24
51760010800,5
51760010900,99
51760011000,12
51760011100,371
51760020100,31
51760020200,8
51760020300,133
51760020400,52
51760020501,203
51760020502,166
51760020600,54
51760020700,22
51760020800,11
51760020900,24
51760021000,7
51760021100,80
51760021200,26
51760030100,33
51760030200,4503
51760030501,721
51760030502,5608
51760040201,67
51760040202,2472
51760040300,1515
51760040400,56
51760040500,132
51760040600,45
51760040700,137
51760040800,320
51760040900,223
51760041000,64
51760041100,342
51760041200,4
51760041300,557
51760041400,91
51760041600,16
51760050100,714
51760050200,217
51760050300,34
51760050400,231
51760050500,720
51760050600,30
51760060200,121
51760060400,148
51760060501,11
51760060502,60
51760060600,66
51760060700,559
51760060800,1060
51760060900,432
51760061001,169
51760061002,1139
51760070100,1047
51760070300,252
51760070400,441
51760070601,450
51760070602,422
51760070700,205
51760070802,34
51760070803,72
51760070804,32
51760070901,153
51760070902,1941
51760071002,155
51760071003,57
51760071004,1920
51760071100,107
