w_tract,h_tract,workers,h_county,HomeX,HomeY,w_county,WorkX,WorkY
51036600300,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Charles City County,-76.97673227,37.33100999
51041100106,51041100106,26,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.54703564,37.51851129
51041100107,51041100106,30,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.53518917,37.50805197
51041100209,51041100106,6,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.54383141,37.47720254
51041100210,51041100106,7,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.52627645,37.48826539
51041100211,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.51523352,37.46884745
51041100403,51041100106,10,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.34009923,37.36551726
51041100407,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.43519495,37.39367918
51041100409,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.42961382,37.3696818
51041100410,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.45365971,37.35954334
51041100505,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.43662449,37.34661541
51041100506,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.41415866,37.32218428
51041100509,51041100106,9,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.37201415,37.31882739
51041100600,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.42319043,37.24154169
51041100701,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.44977765,37.23958262
51041100806,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.46446226,37.43376974
51041100812,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.57030314,37.42885868
51041100817,51041100106,76,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.49978556,37.38463151
51041100819,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.50968155,37.43754339
51041100820,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.52097119,37.41250194
51041100821,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.56965311,37.36559954
51041100902,51041100106,12,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.56921858,37.53045113
51041100907,51041100106,7,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.56475993,37.50674144
51041100910,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.58335284,37.47501371
51041100912,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.65287453,37.43553501
51041100915,51041100106,17,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.63418207,37.50948349
51041100919,51041100106,11,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.61338001,37.44792263
51041100920,51041100106,19,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.60239076,37.5124001
51041100921,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.58687364,37.51932041
51041100922,51041100106,30,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.58524418,37.4964871
51041100923,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.55905676,37.48625306
51041100924,51041100106,9,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.69061582,37.52010733
51041100926,51041100106,8,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.62368907,37.54395099
51041100928,51041100106,14,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.67962214,37.48918829
51041100930,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.63588052,37.49078574
51041100931,51041100106,9,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.61411449,37.4880354
51041100935,51041100106,5,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.6593808,37.53790701
51041100936,51041100106,9,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.64224285,37.52068898
51041100937,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.65752559,37.45437077
51041100938,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.71174779,37.47590889
51041101007,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.671126,37.41933094
51041101009,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.6982259,37.38527966
51041101012,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Chesterfield County,-77.6384137,37.4080954
51075400101,51041100106,30,Chesterfield County,-77.54703564,37.51851129,Goochland County,-77.68299554,37.60434673
51075400102,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Goochland County,-77.68626193,37.67237945
51075400200,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Goochland County,-77.79542232,37.67430492
51075400300,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Goochland County,-77.86213625,37.65586441
51075400400,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Goochland County,-77.94915119,37.72443114
51085320100,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.58500006,37.88594378
51085320200,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.68504133,37.80777585
51085320300,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.6706394,37.73181814
51085320400,51041100106,5,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.53119038,37.72350989
51085320601,51041100106,7,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.47144709,37.77593334
51085320602,51041100106,4,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.47318377,37.74416695
51085320702,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.33973544,37.72429497
51085320801,51041100106,7,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.43517464,37.72101115
51085320803,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.40178469,37.67555472
51085320804,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.42040307,37.68215954
51085320902,51041100106,8,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.38681578,37.63660736
51085321001,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.35319382,37.62262564
51085321100,51041100106,3,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.38262891,37.61242252
51085321300,51041100106,2,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.29680248,37.59112522
51085321403,51041100106,1,Chesterfield County,-77.54703564,37.51851129,Hanover County,-77.17923965,37.62402478
