w_tract,h_tract,workers,h_county,HomeX,HomeY,w_county,WorkX,WorkY
51036600100,51075400102,1,Goochland County,-77.68626193,37.67237945,Charles City County,-77.1917213,37.38472133
51036600100,51075400200,2,Goochland County,-77.79542232,37.67430492,Charles City County,-77.1917213,37.38472133
51036600100,51075400400,1,Goochland County,-77.94915119,37.72443114,Charles City County,-77.1917213,37.38472133
51036600100,51075400500,3,Goochland County,-78.0537926,37.7822625,Charles City County,-77.1917213,37.38472133
51036600200,51075400101,1,Goochland County,-77.68299554,37.60434673,Charles City County,-77.1088509,37.38383884
51036600300,51075400200,2,Goochland County,-77.79542232,37.67430492,Charles City County,-76.97673227,37.33100999
51041100106,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.54703564,37.51851129
51041100106,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.54703564,37.51851129
51041100107,51075400101,12,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.53518917,37.50805197
51041100107,51075400102,7,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.53518917,37.50805197
51041100107,51075400200,16,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.53518917,37.50805197
51041100107,51075400300,2,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.53518917,37.50805197
51041100107,51075400400,14,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.53518917,37.50805197
51041100107,51075400500,15,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.53518917,37.50805197
51041100206,51075400102,1,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.5334907,37.45477273
51041100206,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.5334907,37.45477273
51041100206,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.5334907,37.45477273
51041100206,51075400500,3,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.5334907,37.45477273
51041100208,51075400101,1,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.5681237,37.45977159
51041100209,51075400101,3,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.54383141,37.47720254
51041100209,51075400102,2,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.54383141,37.47720254
51041100209,51075400200,4,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.54383141,37.47720254
51041100209,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.54383141,37.47720254
51041100209,51075400400,4,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.54383141,37.47720254
51041100209,51075400500,4,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.54383141,37.47720254
51041100210,51075400101,7,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.52627645,37.48826539
51041100210,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.52627645,37.48826539
51041100210,51075400400,2,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.52627645,37.48826539
51041100210,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.52627645,37.48826539
51041100211,51075400101,2,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.51523352,37.46884745
51041100211,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.51523352,37.46884745
51041100211,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.51523352,37.46884745
51041100211,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.51523352,37.46884745
51041100212,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.50450006,37.45746628
51041100212,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.50450006,37.45746628
51041100300,51075400101,1,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.44072057,37.45041861
51041100300,51075400200,3,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.44072057,37.45041861
51041100300,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.44072057,37.45041861
51041100300,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.44072057,37.45041861
51041100403,51075400101,13,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.34009923,37.36551726
51041100403,51075400102,8,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.34009923,37.36551726
51041100403,51075400200,12,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.34009923,37.36551726
51041100403,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.34009923,37.36551726
51041100403,51075400400,20,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.34009923,37.36551726
51041100403,51075400500,18,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.34009923,37.36551726
51041100404,51075400500,3,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.43318582,37.423395
51041100406,51075400200,2,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.44553256,37.41976492
51041100406,51075400500,2,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.44553256,37.41976492
51041100407,51075400200,2,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.43519495,37.39367918
51041100407,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.43519495,37.39367918
51041100409,51075400101,1,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.42961382,37.3696818
51041100409,51075400102,2,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.42961382,37.3696818
51041100409,51075400200,1,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.42961382,37.3696818
51041100409,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.42961382,37.3696818
51041100409,51075400400,4,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.42961382,37.3696818
51041100409,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.42961382,37.3696818
51041100410,51075400102,1,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.45365971,37.35954334
51041100410,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.45365971,37.35954334
51041100410,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.45365971,37.35954334
51041100505,51075400101,7,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.43662449,37.34661541
51041100505,51075400102,3,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.43662449,37.34661541
51041100505,51075400200,2,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.43662449,37.34661541
51041100505,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.43662449,37.34661541
51041100505,51075400400,6,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.43662449,37.34661541
51041100505,51075400500,1,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.43662449,37.34661541
51041100506,51075400101,1,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.41415866,37.32218428
51041100506,51075400300,1,Goochland County,-77.86213625,37.65586441,Chesterfield County,-77.41415866,37.32218428
51041100506,51075400500,3,Goochland County,-78.0537926,37.7822625,Chesterfield County,-77.41415866,37.32218428
51041100507,51075400102,2,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.43856897,37.3079419
51041100508,51075400400,1,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.41493663,37.3012045
51041100509,51075400101,3,Goochland County,-77.68299554,37.60434673,Chesterfield County,-77.37201415,37.31882739
51041100509,51075400102,2,Goochland County,-77.68626193,37.67237945,Chesterfield County,-77.37201415,37.31882739
51041100509,51075400200,12,Goochland County,-77.79542232,37.67430492,Chesterfield County,-77.37201415,37.31882739
51041100509,51075400400,6,Goochland County,-77.94915119,37.72443114,Chesterfield County,-77.37201415,37.31882739
