w_tract,workers
51036600100,7
51036600200,1
51036600300,2
51041100106,2
51041100107,66
51041100206,6
51041100208,1
51041100209,18
51041100210,11
51041100211,5
51041100212,2
51041100300,6
51041100403,72
51041100404,3
51041100406,4
51041100407,3
51041100409,10
51041100410,3
51041100505,20
51041100506,5
51041100507,2
51041100508,1
51041100509,31
51041100701,1
51041100704,3
51041100804,4
51041100805,2
51041100806,4
51041100812,3
51041100814,5
51041100817,66
51041100819,3
51041100820,26
51041100821,11
51041100822,20
51041100823,8
51041100902,15
51041100907,13
51041100910,6
51041100912,7
51041100915,47
51041100919,41
51041100920,63
51041100922,91
51041100923,14
51041100924,49
51041100926,15
51041100928,47
51041100929,12
51041100930,4
51041100931,48
51041100932,4
51041100933,3
51041100934,9
51041100935,11
51041100936,2
51041100937,32
51041100938,2
51041101003,6
51041101007,24
51041101008,4
51041101009,8
51041101011,2
51041101012,12
51041101013,1
51041101014,3
51041101015,3
51075400101,432
51075400102,388
51075400200,256
51075400300,44
51075400400,658
51075400500,59
51085320100,21
51085320200,26
51085320300,21
51085320400,75
51085320500,10
51085320601,55
51085320602,70
51085320701,1
51085320702,31
51085320801,123
51085320803,12
51085320804,9
51085320805,5
51085320901,9
51085320902,109
51085321001,7
51085321003,5
51085321100,32
51085321201,18
51085321202,2
51085321300,19
51087200106,20
51087200108,29
51087200109,10
51087200122,15
51087200123,5
51087200124,25
51087200126,32
51087200127,23
51087200131,130
51087200132,11
51087200133,10
51087200134,40
51087200135,7
51087200136,24
51087200137,1
51087200138,21
51087200139,4
51087200140,104
51087200141,47
51087200142,14
51087200144,59
51087200145,3
51087200146,4
51087200147,12
51087200148,52
51087200149,49
51087200150,402
51087200151,293
51087200152,8
51087200153,35
51087200201,17
51087200202,12
51087200301,65
51087200302,163
51087200303,162
51087200305,75
51087200404,42
51087200407,38
51087200409,95
51087200411,8
51087200412,5
51087200413,11
51087200414,2
51087200415,8
51087200416,6
51087200417,16
51087200418,11
51087200501,125
51087200502,151
51087200503,75
51087200600,6
51087200700,22
51087200801,90
51087200802,5
51087200805,11
51087200807,4
51087200904,34
51087200905,23
51087200906,2
51087200907,37
51087200908,29
51087201001,3
51087201002,22
51087201003,7
51087201102,1
51087201104,112
51087201203,1
51087201205,5
51087201404,14
51087201405,3
51087201406,29
51087201502,4
51087201503,2
51087201504,44
51087201602,12
51087201701,2
51087980100,3
51127700100,5
51127700200,1
51127700301,2
51127700302,3
51145500101,37
51145500102,20
51145500201,31
51145500202,19
51145500300,20
51145500400,18
51760010201,7
51760010202,12
51760010300,1
51760010401,4
51760010402,6
51760010600,4
51760010700,1
51760010800,1
51760010900,10
51760011000,2
51760011100,22
51760020100,5
51760020300,6
51760020400,8
51760020501,15
51760020502,14
51760020600,3
51760020700,2
51760020900,1
51760021100,1
51760021200,15
51760030200,196
51760030501,57
51760030502,346
51760040201,4
51760040202,153
51760040300,99
51760040400,2
51760040500,6
51760040600,2
51760040700,6
51760040800,20
51760040900,23
51760041000,1
51760041100,25
51760041300,42
51760041400,4
51760041600,4
51760050100,46
51760050200,32
51760050300,3
51760050400,33
51760050500,67
51760050600,7
51760060200,21
51760060400,4
51760060501,1
51760060502,2
51760060700,17
51760060800,33
51760060900,11
51760061001,3
51760061002,39
51760070100,44
51760070300,6
51760070400,17
51760070601,15
51760070602,10
51760070700,2
51760070901,4
51760070902,31
51760071002,3
51760071003,1
51760071004,53
51760071100,2
