w_tract,workers
51036600100,57
51036600200,6
51036600300,7
51041100106,4
51041100107,310
51041100206,20
51041100208,8
51041100209,63
51041100210,46
51041100211,16
51041100212,1
51041100300,115
51041100403,500
51041100404,14
51041100405,4
51041100406,13
51041100407,18
51041100409,56
51041100410,8
51041100505,107
51041100506,60
51041100507,2
51041100508,11
51041100509,183
51041100510,19
51041100600,15
51041100701,6
51041100702,3
51041100704,4
51041100705,6
51041100804,22
51041100805,32
51041100806,28
51041100807,5
51041100812,25
51041100814,9
51041100815,3
51041100817,236
51041100818,18
51041100819,13
51041100820,105
51041100821,48
51041100822,78
51041100823,46
51041100902,48
51041100907,54
51041100910,21
51041100912,41
51041100915,147
51041100919,144
51041100920,284
51041100921,6
51041100922,347
51041100923,49
51041100924,146
51041100926,54
51041100928,152
51041100929,24
51041100930,29
51041100931,81
51041100932,6
51041100933,8
51041100934,42
51041100935,15
51041100936,6
51041100937,78
51041100938,10
51041101003,17
51041101004,20
51041101007,75
51041101008,20
51041101009,36
51041101011,21
51041101012,101
51041101013,7
51041101014,1
51041101015,12
51075400101,743
51075400102,511
51075400200,50
51075400300,18
51075400400,94
51075400500,8
51085320100,448
51085320200,320
51085320300,195
51085320400,956
51085320500,200
51085320601,2519
51085320602,988
51085320701,146
51085320702,309
51085320801,1438
51085320803,290
51085320804,388
51085320805,113
51085320901,333
51085320902,1267
51085321001,331
51085321003,384
51085321004,87
51085321100,745
51085321201,550
51085321202,154
51085321300,422
51085321401,95
51085321402,104
51085321403,80
51087200106,88
51087200108,37
51087200109,13
51087200122,64
51087200123,19
51087200124,53
51087200125,7
51087200126,140
51087200127,83
51087200131,455
51087200132,51
51087200133,12
51087200134,45
51087200135,23
51087200136,38
51087200137,5
51087200138,39
51087200139,6
51087200140,254
51087200141,144
51087200142,44
51087200143,3
51087200144,207
51087200145,14
51087200146,11
51087200147,31
51087200148,236
51087200149,115
51087200150,1339
51087200151,1017
51087200152,14
51087200153,155
51087200201,35
51087200202,34
51087200301,313
51087200302,625
51087200303,614
51087200305,248
51087200404,173
51087200407,167
51087200409,551
51087200411,28
51087200412,97
51087200413,52
51087200414,8
51087200415,36
51087200416,48
51087200417,60
51087200418,58
51087200501,556
51087200502,849
51087200503,528
51087200600,15
51087200700,157
51087200801,494
51087200802,46
51087200805,148
51087200806,3
51087200807,24
51087200904,302
51087200905,179
51087200906,21
51087200907,487
51087200908,156
51087201001,65
51087201002,81
51087201003,48
51087201102,7
51087201103,20
51087201104,946
51087201203,9
51087201204,22
51087201205,96
51087201206,1
51087201403,26
51087201404,116
51087201405,42
51087201406,398
51087201502,65
51087201503,9
51087201504,377
51087201601,20
51087201602,81
51087201701,64
51087980100,143
51127700100,65
51127700200,44
51127700301,39
51127700302,88
51145500101,78
51145500102,56
51145500201,18
51145500202,25
51145500300,15
51145500400,15
51760010201,38
51760010202,95
51760010300,9
51760010401,17
51760010402,40
51760010600,43
51760010700,3
51760010800,5
51760010900,73
51760011000,7
51760011100,167
51760020100,7
51760020300,49
51760020400,19
51760020501,62
51760020502,45
51760020600,17
51760020700,7
51760020800,4
51760020900,2
51760021000,3
51760021100,29
51760021200,11
51760030100,1
51760030200,1284
51760030501,251
51760030502,2009
51760040201,34
51760040202,886
51760040300,459
51760040400,19
51760040500,47
51760040600,13
51760040700,47
51760040800,94
51760040900,79
51760041000,12
51760041100,101
51760041300,193
51760041400,21
51760050100,189
51760050200,65
51760050300,21
51760050400,108
51760050500,223
51760050600,10
51760060200,27
51760060400,31
51760060502,9
51760060600,14
51760060700,146
51760060800,170
51760060900,78
51760061001,40
51760061002,244
51760070100,206
51760070300,50
51760070400,101
51760070601,64
51760070602,56
51760070700,22
51760070802,3
51760070803,3
51760070804,3
51760070901,19
51760070902,257
51760071002,27
51760071003,8
51760071004,229
51760071100,17
