w_tract,workers
51036600100,139
51036600200,23
51036600300,43
51041100106,10
51041100107,952
51041100206,135
51041100208,14
51041100209,238
51041100210,231
51041100211,22
51041100212,32
51041100300,379
51041100403,2139
51041100404,50
51041100405,11
51041100406,46
51041100407,62
51041100409,211
51041100410,34
51041100505,389
51041100506,151
51041100507,22
51041100508,25
51041100509,789
51041100510,20
51041100600,83
51041100701,23
51041100702,2
51041100704,11
51041100705,13
51041100804,73
51041100805,66
51041100806,157
51041100807,12
51041100812,154
51041100814,42
51041100815,8
51041100816,4
51041100817,876
51041100818,33
51041100819,62
51041100820,273
51041100821,180
51041100822,240
51041100823,111
51041100902,203
51041100907,251
51041100910,30
51041100912,191
51041100915,571
51041100919,493
51041100920,1174
51041100921,51
51041100922,1417
51041100923,175
51041100924,418
51041100926,237
51041100928,530
51041100929,117
51041100930,123
51041100931,370
51041100932,11
51041100933,35
51041100934,168
51041100935,132
51041100936,76
51041100937,215
51041100938,43
51041101003,34
51041101004,31
51041101007,239
51041101008,66
51041101009,131
51041101011,26
51041101012,352
51041101013,8
51041101014,8
51041101015,61
51075400101,3484
51075400102,1409
51075400200,143
51075400300,121
51075400400,226
51075400500,32
51085320100,262
51085320200,114
51085320300,190
51085320400,1559
51085320500,54
51085320601,1248
51085320602,756
51085320701,31
51085320702,116
51085320801,1696
51085320803,253
51085320804,221
51085320805,66
51085320901,149
51085320902,1650
51085321001,345
51085321003,279
51085321004,9
51085321100,759
51085321201,563
51085321202,61
51085321300,431
51085321401,17
51085321402,49
51085321403,19
51087200106,427
51087200108,298
51087200109,169
51087200122,347
51087200123,81
51087200124,460
51087200125,43
51087200126,599
51087200127,510
51087200131,1636
51087200132,202
51087200133,76
51087200134,348
51087200135,155
51087200136,353
51087200137,25
51087200138,279
51087200139,58
51087200140,1330
51087200141,874
51087200142,237
51087200143,68
51087200144,1061
51087200145,80
51087200146,77
51087200147,262
51087200148,1125
51087200149,384
51087200150,5450
51087200151,4278
51087200152,145
51087200153,613
51087200201,250
51087200202,221
51087200301,1274
51087200302,1759
51087200303,2380
51087200305,1142
51087200404,718
51087200407,698
51087200409,1907
51087200411,151
51087200412,314
51087200413,202
51087200414,80
51087200415,96
51087200416,216
51087200417,294
51087200418,189
51087200501,2004
51087200502,3162
51087200503,1763
51087200600,68
51087200700,699
51087200801,1618
51087200802,205
51087200805,676
51087200806,20
51087200807,64
51087200904,890
51087200905,624
51087200906,99
51087200907,1328
51087200908,599
51087201001,168
51087201002,247
51087201003,161
51087201102,80
51087201103,66
51087201104,4617
51087201203,82
51087201204,95
51087201205,494
51087201206,39
51087201403,172
51087201404,425
51087201405,203
51087201406,1870
51087201502,352
51087201503,61
51087201504,1418
51087201601,79
51087201602,418
51087201701,209
51087980100,458
51127700100,134
51127700200,62
51127700301,129
51127700302,215
51145500101,176
51145500102,195
51145500201,81
51145500202,55
51145500300,70
51145500400,41
51760010201,113
51760010202,325
51760010300,33
51760010401,65
51760010402,165
51760010500,4
51760010600,177
51760010700,72
51760010800,23
51760010900,129
51760011000,16
51760011100,583
51760020100,14
51760020200,33
51760020300,132
51760020400,76
51760020501,351
51760020502,235
51760020600,88
51760020700,28
51760020800,14
51760020900,30
51760021000,27
51760021100,80
51760021200,47
51760030100,45
51760030200,5300
51760030501,857
51760030502,6045
51760040201,71
51760040202,2889
51760040300,2045
51760040400,80
51760040500,181
51760040600,55
51760040700,202
51760040800,342
51760040900,329
51760041000,72
51760041100,352
51760041200,9
51760041300,539
51760041400,90
51760041600,18
51760050100,823
51760050200,349
51760050300,51
51760050400,383
51760050500,1197
51760050600,50
51760060200,151
51760060400,147
51760060501,15
51760060502,43
51760060600,61
51760060700,381
51760060800,671
51760060900,212
51760061001,194
51760061002,1155
51760070100,836
51760070300,205
51760070400,375
51760070601,272
51760070602,355
51760070700,61
51760070802,28
51760070803,26
51760070804,17
51760070901,76
51760070902,1029
51760071002,87
51760071003,30
51760071004,886
51760071100,51
