w_tract,workers
51036600100,156
51036600200,19
51036600300,32
51041100107,54
51041100206,4
51041100208,2
51041100209,1
51041100211,1
51041100300,39
51041100403,173
51041100404,3
51041100406,7
51041100407,6
51041100409,14
51041100410,5
51041100505,17
51041100506,7
51041100508,3
51041100509,53
51041100510,11
51041100600,1
51041100701,4
51041100705,1
51041100804,2
51041100805,4
51041100806,10
51041100812,2
51041100814,2
51041100815,1
51041100817,60
51041100818,3
51041100819,3
51041100820,17
51041100821,9
51041100822,14
51041100823,10
51041100902,5
51041100907,6
51041100910,2
51041100912,9
51041100915,17
51041100919,26
51041100920,31
51041100921,2
51041100922,57
51041100923,8
51041100924,19
51041100926,4
51041100928,28
51041100929,1
51041100930,1
51041100931,8
51041100932,3
51041100933,1
51041100934,7
51041100935,1
51041100937,9
51041100938,3
51041101004,2
51041101007,12
51041101008,4
51041101009,2
51041101011,4
51041101012,14
51075400101,51
51075400102,31
51075400200,10
51075400400,2
51085320100,11
51085320200,4
51085320300,1
51085320400,89
51085320500,5
51085320601,61
51085320602,42
51085320701,2
51085320702,11
51085320801,95
51085320803,5
51085320804,15
51085320805,8
51085320901,13
51085320902,116
51085321001,17
51085321003,23
51085321004,3
51085321100,68
51085321201,48
51085321202,17
51085321300,27
51085321401,1
51085321402,10
51085321403,19
51087200106,10
51087200108,1
51087200109,3
51087200122,5
51087200124,2
51087200125,1
51087200126,12
51087200127,7
51087200131,65
51087200132,5
51087200135,5
51087200136,3
51087200137,1
51087200138,3
51087200139,1
51087200140,21
51087200141,11
51087200142,3
51087200144,25
51087200145,2
51087200146,3
51087200147,3
51087200148,38
51087200149,21
51087200150,155
51087200151,88
51087200153,7
51087200201,4
51087200202,1
51087200301,31
51087200302,75
51087200303,55
51087200305,30
51087200404,14
51087200407,12
51087200409,95
51087200411,2
51087200412,10
51087200413,4
51087200414,2
51087200415,7
51087200416,6
51087200417,5
51087200418,5
51087200501,81
51087200502,131
51087200503,70
51087200700,17
51087200801,57
51087200802,7
51087200805,23
51087200807,2
51087200904,49
51087200905,29
51087200907,40
51087200908,18
51087201001,3
51087201002,30
51087201003,9
51087201102,8
51087201103,3
51087201104,119
51087201203,3
51087201204,2
51087201205,36
51087201403,10
51087201404,42
51087201405,4
51087201406,62
51087201502,37
51087201503,2
51087201504,122
51087201601,14
51087201602,23
51087201701,45
51087980100,49
51127700100,272
51127700200,171
51127700301,231
51127700302,622
51145500101,13
51145500102,14
51145500201,5
51145500202,3
51145500300,1
51145500400,3
51760010201,8
51760010202,11
51760010401,3
51760010600,2
51760010700,1
51760010900,11
51760011100,27
51760020100,1
51760020300,11
51760020501,8
51760020502,1
51760020700,1
51760021000,6
51760021100,3
51760021200,3
51760030200,215
51760030501,29
51760030502,318
51760040201,1
51760040202,108
51760040300,84
51760040400,6
51760040500,2
51760040600,3
51760040700,5
51760040800,7
51760040900,11
51760041000,3
51760041100,24
51760041300,27
51760041400,3
51760041600,3
51760050100,27
51760050200,12
51760050400,7
51760050500,22
51760060200,5
51760060400,8
51760060502,1
51760060600,1
51760060700,47
51760060800,60
51760060900,13
51760061001,3
51760061002,46
51760070100,31
51760070300,7
51760070400,10
51760070601,9
51760070602,10
51760070700,2
51760070803,3
51760070901,1
51760070902,72
51760071002,7
51760071004,48
51760071100,4
