STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,X,Y,geometry
51,87,200404,1400000US51087200404,51087200404,2004.04,Census Tract 2004.04,VA,Henrico County,Virginia,CT,2144770,43191,-77.50273764,37.60703991,POINT (-77.50273763913766 37.60703990590712)
51,760,20200,1400000US51760020200,51760020200,202,Census Tract 202,VA,Richmond city,Virginia,CT,1001402,0,-77.40328703,37.54741743,POINT (-77.40328702980422 37.54741742863463)
51,760,60900,1400000US51760060900,51760060900,609,Census Tract 609,VA,Richmond city,Virginia,CT,2792220,0,-77.43819343,37.46389442,POINT (-77.43819342675272 37.463894420972)
51,760,21200,1400000US51760021200,51760021200,212,Census Tract 212,VA,Richmond city,Virginia,CT,910277,0,-77.40017833,37.51126646,POINT (-77.40017832767842 37.511266464638986)
51,87,200134,1400000US51087200134,51087200134,2001.34,Census Tract 2001.34,VA,Henrico County,Virginia,CT,4590484,1335,-77.58656913,37.58704275,POINT (-77.58656912531134 37.58704275443363)
51,41,100935,1400000US51041100935,51041100935,1009.35,Census Tract 1009.35,VA,Chesterfield County,Virginia,CT,7474397,35201,-77.6593808,37.53790701,POINT (-77.65938080386519 37.53790700609464)
51,760,70902,1400000US51760070902,51760070902,709.02,Census Tract 709.02,VA,Richmond city,Virginia,CT,3523835,0,-77.45964132,37.49121275,POINT (-77.45964131855692 37.49121274982851)
51,760,60600,1400000US51760060600,51760060600,606,Census Tract 606,VA,Richmond city,Virginia,CT,1789880,244929,-77.49017897,37.52482882,POINT (-77.49017897010994 37.52482882077043)
51,760,40500,1400000US51760040500,51760040500,405,Census Tract 405,VA,Richmond city,Virginia,CT,609751,0,-77.46637051,37.55733571,POINT (-77.46637051308117 37.557335710999055)
51,760,20800,1400000US51760020800,51760020800,208,Census Tract 208,VA,Richmond city,Virginia,CT,795111,0,-77.41208334,37.52699791,POINT (-77.41208333926784 37.526997912396894)
51,760,20501,1400000US51760020501,51760020501,205.01,Census Tract 205.01,VA,Richmond city,Virginia,CT,875139,140237,-77.42432479,37.53226453,POINT (-77.42432478984946 37.53226452718117)
51,760,50300,1400000US51760050300,51760050300,503,Census Tract 503,VA,Richmond city,Virginia,CT,695639,0,-77.49769409,37.56237785,POINT (-77.49769408890585 37.56237785228033)
51,87,200412,1400000US51087200412,51087200412,2004.12,Census Tract 2004.12,VA,Henrico County,Virginia,CT,1184082,1600,-77.51814096,37.63357193,POINT (-77.51814095601985 37.63357192990187)
51,760,41300,1400000US51760041300,51760041300,413,Census Tract 413,VA,Richmond city,Virginia,CT,2610167,611067,-77.46431434,37.53489079,POINT (-77.46431434065566 37.53489079474304)
