w_tract,h_tract,workers,h_county,HomeX,HomeY,w_county,WorkX,WorkY
51036600100,51145500101,2,Powhatan County,-77.76191667,37.55767063,Charles City County,-77.1917213,37.38472133
51036600100,51145500201,5,Powhatan County,-77.89555426,37.59482961,Charles City County,-77.1917213,37.38472133
51036600100,51145500300,1,Powhatan County,-77.87952952,37.6446798,Charles City County,-77.1917213,37.38472133
51036600100,51145500400,1,Powhatan County,-78.03659791,37.55038368,Charles City County,-77.1917213,37.38472133
51036600200,51145500400,1,Powhatan County,-78.03659791,37.55038368,Charles City County,-77.1088509,37.38383884
51036600300,51145500101,4,Powhatan County,-77.76191667,37.55767063,Charles City County,-76.97673227,37.33100999
51036600300,51145500201,1,Powhatan County,-77.89555426,37.59482961,Charles City County,-76.97673227,37.33100999
51041100106,51145500101,4,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.54703564,37.51851129
51041100106,51145500202,1,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.54703564,37.51851129
51041100106,51145500400,1,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.54703564,37.51851129
51041100107,51145500101,34,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.53518917,37.50805197
51041100107,51145500102,36,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.53518917,37.50805197
51041100107,51145500201,21,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.53518917,37.50805197
51041100107,51145500202,19,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.53518917,37.50805197
51041100107,51145500300,3,Powhatan County,-77.87952952,37.6446798,Chesterfield County,-77.53518917,37.50805197
51041100107,51145500400,15,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.53518917,37.50805197
51041100206,51145500101,3,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.5334907,37.45477273
51041100206,51145500102,3,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.5334907,37.45477273
51041100206,51145500201,2,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.5334907,37.45477273
51041100206,51145500202,4,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.5334907,37.45477273
51041100208,51145500202,2,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.5681237,37.45977159
51041100209,51145500101,11,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.54383141,37.47720254
51041100209,51145500102,11,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.54383141,37.47720254
51041100209,51145500201,9,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.54383141,37.47720254
51041100209,51145500202,6,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.54383141,37.47720254
51041100209,51145500400,18,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.54383141,37.47720254
51041100210,51145500101,2,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.52627645,37.48826539
51041100210,51145500102,3,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.52627645,37.48826539
51041100210,51145500201,4,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.52627645,37.48826539
51041100210,51145500400,3,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.52627645,37.48826539
51041100211,51145500101,1,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.51523352,37.46884745
51041100211,51145500201,5,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.51523352,37.46884745
51041100300,51145500101,19,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.44072057,37.45041861
51041100300,51145500102,11,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.44072057,37.45041861
51041100300,51145500201,13,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.44072057,37.45041861
51041100300,51145500202,10,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.44072057,37.45041861
51041100300,51145500300,3,Powhatan County,-77.87952952,37.6446798,Chesterfield County,-77.44072057,37.45041861
51041100300,51145500400,13,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.44072057,37.45041861
51041100403,51145500101,47,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.34009923,37.36551726
51041100403,51145500102,36,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.34009923,37.36551726
51041100403,51145500201,29,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.34009923,37.36551726
51041100403,51145500202,18,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.34009923,37.36551726
51041100403,51145500300,2,Powhatan County,-77.87952952,37.6446798,Chesterfield County,-77.34009923,37.36551726
51041100403,51145500400,47,Powhatan County,-78.03659791,37.55038368,Chesterfield County,-77.34009923,37.36551726
51041100404,51145500101,1,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.43318582,37.423395
51041100404,51145500102,1,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.43318582,37.423395
51041100404,51145500201,1,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.43318582,37.423395
51041100405,51145500202,2,Powhatan County,-77.90999398,37.5125689,Chesterfield County,-77.44675301,37.43851199
51041100406,51145500101,3,Powhatan County,-77.76191667,37.55767063,Chesterfield County,-77.44553256,37.41976492
51041100406,51145500102,1,Powhatan County,-77.82617795,37.47522126,Chesterfield County,-77.44553256,37.41976492
51041100406,51145500201,6,Powhatan County,-77.89555426,37.59482961,Chesterfield County,-77.44553256,37.41976492
