w_tract,workers
51036600100,9
51036600200,1
51036600300,5
51041100106,6
51041100107,128
51041100206,12
51041100208,2
51041100209,55
51041100210,12
51041100211,6
51041100300,69
51041100403,179
51041100404,3
51041100405,2
51041100406,10
51041100407,12
51041100409,32
51041100410,8
51041100505,33
51041100506,12
51041100507,2
51041100508,4
51041100509,80
51041100510,3
51041100600,1
51041100701,4
51041100702,1
51041100704,3
51041100705,1
51041100804,4
51041100805,2
51041100806,14
51041100807,3
51041100812,38
51041100814,1
51041100815,1
51041100816,2
51041100817,320
51041100818,4
51041100819,8
51041100820,73
51041100821,10
51041100822,38
51041100823,25
51041100902,28
51041100907,35
51041100910,11
51041100912,38
51041100915,153
51041100919,198
51041100920,196
51041100921,10
51041100922,278
51041100923,19
51041100924,259
51041100926,57
51041100928,127
51041100929,13
51041100930,32
51041100931,149
51041100932,5
51041100933,14
51041100934,31
51041100935,37
51041100936,27
51041100937,49
51041100938,7
51041101003,17
51041101004,23
51041101007,54
51041101008,24
51041101009,27
51041101011,18
51041101012,61
51041101013,3
51041101014,4
51041101015,26
51075400101,257
51075400102,134
51075400200,32
51075400300,51
51075400400,83
51075400500,2
51085320100,8
51085320200,13
51085320300,8
51085320400,61
51085320500,3
51085320601,29
51085320602,28
51085320701,1
51085320702,3
51085320801,146
51085320803,13
51085320804,8
51085320805,1
51085320901,2
51085320902,89
51085321001,8
51085321003,8
51085321004,2
51085321100,20
51085321201,17
51085321202,4
51085321300,21
51085321401,1
51085321403,2
51087200106,20
51087200108,21
51087200109,5
51087200122,19
51087200123,6
51087200124,14
51087200125,2
51087200126,25
51087200127,20
51087200131,92
51087200132,13
51087200133,5
51087200134,25
51087200135,4
51087200136,16
51087200137,1
51087200138,10
51087200139,2
51087200140,65
51087200141,20
51087200142,20
51087200144,46
51087200145,4
51087200146,1
51087200147,1
51087200148,60
51087200149,32
51087200150,262
51087200151,219
51087200152,3
51087200153,22
51087200201,6
51087200202,7
51087200301,62
51087200302,151
51087200303,159
51087200305,57
51087200404,35
51087200407,46
51087200409,93
51087200411,6
51087200412,10
51087200413,13
51087200414,4
51087200415,1
51087200416,7
51087200417,13
51087200418,11
51087200501,91
51087200502,179
51087200503,106
51087200700,22
51087200801,60
51087200802,4
51087200805,11
51087200807,1
51087200904,44
51087200905,24
51087200907,40
51087200908,21
51087201001,3
51087201002,13
51087201003,5
51087201103,2
51087201104,61
51087201204,1
51087201205,12
51087201404,7
51087201405,2
51087201406,39
51087201502,6
51087201504,75
51087201602,13
51087201701,8
51087980100,8
51127700100,18
51127700200,6
51127700301,6
51127700302,8
51145500101,433
51145500102,516
51145500201,370
51145500202,380
51145500300,38
51145500400,547
51760010201,5
51760010202,14
51760010401,2
51760010402,1
51760010600,3
51760010700,1
51760010900,11
51760011100,37
51760020100,1
51760020300,8
51760020400,4
51760020501,16
51760020502,13
51760020600,4
51760021100,3
51760021200,2
51760030200,207
51760030501,50
51760030502,379
51760040201,6
51760040202,148
51760040300,71
51760040400,2
51760040500,9
51760040700,5
51760040800,17
51760040900,17
51760041000,2
51760041100,29
51760041300,30
51760041400,3
51760050100,62
51760050200,15
51760050300,2
51760050400,26
51760050500,55
51760060200,15
51760060400,15
51760060600,3
51760060700,34
51760060800,75
51760060900,22
51760061001,9
51760061002,82
51760070100,81
51760070300,22
51760070400,24
51760070601,43
51760070602,15
51760070700,11
51760070802,5
51760070804,1
51760070901,4
51760070902,91
51760071002,3
51760071003,4
51760071004,191
51760071100,8
