w_tract,workers,Work,Home,Region,State
51036600100,67,Charles City,Richmond City,PlanRVA,VA
51036600200,1,Charles City,Richmond City,PlanRVA,VA
51036600300,8,Charles City,Richmond City,PlanRVA,VA
51041100106,15,Chesterfield,Richmond City,PlanRVA,VA
51041100107,809,Chesterfield,Richmond City,PlanRVA,VA
51041100206,108,Chesterfield,Richmond City,PlanRVA,VA
51041100208,13,Chesterfield,Richmond City,PlanRVA,VA
51041100209,220,Chesterfield,Richmond City,PlanRVA,VA
51041100210,210,Chesterfield,Richmond City,PlanRVA,VA
51041100211,40,Chesterfield,Richmond City,PlanRVA,VA
51041100212,38,Chesterfield,Richmond City,PlanRVA,VA
51041100300,293,Chesterfield,Richmond City,PlanRVA,VA
51041100403,1625,Chesterfield,Richmond City,PlanRVA,VA
51041100404,46,Chesterfield,Richmond City,PlanRVA,VA
51041100405,9,Chesterfield,Richmond City,PlanRVA,VA
51041100406,31,Chesterfield,Richmond City,PlanRVA,VA
51041100407,79,Chesterfield,Richmond City,PlanRVA,VA
51041100409,170,Chesterfield,Richmond City,PlanRVA,VA
51041100410,26,Chesterfield,Richmond City,PlanRVA,VA
51041100505,295,Chesterfield,Richmond City,PlanRVA,VA
51041100506,101,Chesterfield,Richmond City,PlanRVA,VA
51041100507,21,Chesterfield,Richmond City,PlanRVA,VA
51041100508,30,Chesterfield,Richmond City,PlanRVA,VA
51041100509,600,Chesterfield,Richmond City,PlanRVA,VA
51041100510,4,Chesterfield,Richmond City,PlanRVA,VA
51041100600,44,Chesterfield,Richmond City,PlanRVA,VA
51041100701,10,Chesterfield,Richmond City,PlanRVA,VA
51041100702,5,Chesterfield,Richmond City,PlanRVA,VA
51041100704,21,Chesterfield,Richmond City,PlanRVA,VA
51041100705,11,Chesterfield,Richmond City,PlanRVA,VA
51041100804,58,Chesterfield,Richmond City,PlanRVA,VA
51041100805,57,Chesterfield,Richmond City,PlanRVA,VA
51041100806,283,Chesterfield,Richmond City,PlanRVA,VA
51041100807,17,Chesterfield,Richmond City,PlanRVA,VA
51041100812,163,Chesterfield,Richmond City,PlanRVA,VA
51041100814,44,Chesterfield,Richmond City,PlanRVA,VA
51041100815,14,Chesterfield,Richmond City,PlanRVA,VA
51041100816,5,Chesterfield,Richmond City,PlanRVA,VA
51041100817,1065,Chesterfield,Richmond City,PlanRVA,VA
51041100818,23,Chesterfield,Richmond City,PlanRVA,VA
51041100819,98,Chesterfield,Richmond City,PlanRVA,VA
51041100820,212,Chesterfield,Richmond City,PlanRVA,VA
51041100821,107,Chesterfield,Richmond City,PlanRVA,VA
51041100822,228,Chesterfield,Richmond City,PlanRVA,VA
51041100823,87,Chesterfield,Richmond City,PlanRVA,VA
51041100902,148,Chesterfield,Richmond City,PlanRVA,VA
51041100907,297,Chesterfield,Richmond City,PlanRVA,VA
51041100910,50,Chesterfield,Richmond City,PlanRVA,VA
51041100912,171,Chesterfield,Richmond City,PlanRVA,VA
51041100915,466,Chesterfield,Richmond City,PlanRVA,VA
51041100919,426,Chesterfield,Richmond City,PlanRVA,VA
51041100920,835,Chesterfield,Richmond City,PlanRVA,VA
51041100921,73,Chesterfield,Richmond City,PlanRVA,VA
51041100922,1071,Chesterfield,Richmond City,PlanRVA,VA
51041100923,156,Chesterfield,Richmond City,PlanRVA,VA
51041100924,281,Chesterfield,Richmond City,PlanRVA,VA
51041100926,194,Chesterfield,Richmond City,PlanRVA,VA
