,w_tract,workers
0,51001090101,539
1,51001090102,270
2,51001090201,350
3,51001090202,1019
4,51001090300,86
5,51001090401,140
6,51001090402,1382
7,51001090500,2052
8,51001090600,845
9,51001090700,971
10,51001090800,670
11,51001980100,13
12,51001980200,418
13,51003010100,505
14,51003010201,1018
15,51003010202,403
16,51003010301,2868
17,51003010302,75
18,51003010303,662
19,51003010401,962
20,51003010402,1027
21,51003010501,192
22,51003010502,6362
23,51003010602,361
24,51003010603,1977
25,51003010604,1669
26,51003010701,1960
27,51003010702,2450
28,51003010801,386
29,51003010802,3231
30,51003010901,832
31,51003010904,12398
32,51003011000,2160
33,51003011101,920
34,51003011102,163
35,51003011103,635
36,51003011201,704
37,51003011202,1098
38,51003011301,1093
39,51003011302,1119
40,51003011303,2112
41,51003011400,518
42,51005070100,740
43,51005080100,1249
44,51005080201,936
45,51005080202,264
46,51005080301,132
47,51005080302,63
48,51007930101,213
49,51007930102,621
50,51007930200,1537
51,51009010100,371
52,51009010201,2754
53,51009010202,501
54,51009010300,111
55,51009010401,265
56,51009010402,489
57,51009010504,1023
58,51009010505,234
59,51009010506,1131
60,51009010600,254
61,51011040101,523
62,51011040102,1929
63,51011040200,267
64,51011040300,279
65,51013100100,560
66,51013100200,1066
67,51013100300,1090
68,51013100400,195
69,51013100500,594
70,51013100600,575
71,51013100700,614
72,51013100800,254
73,51013100900,3437
74,51013101000,3336
75,51013101100,477
76,51013101200,303
77,51013101300,1130
78,51013101401,8291
79,51013101402,5898
80,51013101405,614
81,51013101406,1189
82,51013101407,1992
83,51013101408,1625
84,51013101409,4526
85,51013101501,472
86,51013101502,2861
87,51013101503,1293
88,51013101601,195
89,51013101602,1556
90,51013101603,12706
91,51013101701,2410
92,51013101703,154
93,51013101704,2466
94,51013101705,2933
95,51013101801,2731
96,51013101803,398
97,51013101804,437
98,51013101805,5019
99,51013101900,1328
100,51013102001,400
101,51013102002,75
102,51013102003,891
103,51013102100,392
104,51013102200,306
105,51013102301,759
106,51013102302,635
107,51013102400,248
108,51013102500,1100
109,51013102600,202
110,51013102701,90
111,51013102702,24
112,51013102802,373
113,51013102803,84
114,51013102804,132
115,51013102901,706
116,51013102903,87
117,51013102904,1993
118,51013103000,86
119,51013103100,706
120,51013103200,578
121,51013103300,33
122,51013103401,419
123,51013103403,2345
124,51013103404,4045
125,51013103405,7486
126,51013103501,47
127,51013103503,2845
128,51013103504,299
129,51013103505,3406
130,51013103601,153
131,51013103602,590
132,51013103700,548
133,51013103800,427
134,51013980100,267
135,51013980200,2470
136,51015070100,505
137,51015070200,183
138,51015070300,2038
139,51015070400,448
140,51015070500,516
141,51015070601,576
142,51015070602,4408
143,51015070603,679
144,51015070701,5243
145,51015070702,212
146,51015070801,148
147,51015070802,272
148,51015070900,1865
149,51015071000,575
150,51015071101,4097
151,51015071102,2356
152,51015071201,385
153,51015071202,1643
154,51017920101,446
155,51017920102,1197
156,51019030101,380
157,51019030103,4932
158,51019030104,847
159,51019030202,812
160,51019030203,608
161,51019030204,709
162,51019030300,560
163,51019030401,325
164,51019030403,433
165,51019030404,1432
166,51019030501,418
167,51019030503,163
168,51019030504,527
169,51019030601,150
170,51019030602,226
171,51019030603,127
172,51019030604,37
173,51019030605,389
174,51019050101,3701
175,51019050102,1585
176,51021040100,854
177,51021040200,649
178,51023040100,259
179,51023040200,498
180,51023040301,1539
181,51023040303,3154
182,51023040304,798
183,51023040401,258
184,51023040402,2770
185,51023040501,1245
186,51023040502,222
187,51025930100,506
188,51025930201,524
189,51025930202,177
190,51025930203,1287
191,51025930301,132
192,51025930302,391
193,51027010100,1024
194,51027010200,261
195,51027010300,432
196,51027010400,949
197,51027010500,19
198,51027010600,1728
199,51027010700,160
200,51029930101,131
201,51029930102,380
202,51029930201,1343
203,51029930202,1072
204,51031020101,4806
205,51031020102,523
206,51031020200,1861
207,51031020300,722
208,51031020401,1872
209,51031020402,812
210,51031020403,444
211,51031020500,1273
212,51031020600,564
213,51031020700,3320
214,51031020800,364
215,51031020900,681
216,51033030100,741
217,51033030201,678
218,51033030202,98
219,51033030300,1450
220,51033030400,105
221,51033030501,672
222,51033030502,272
223,51033030503,605
224,51033030600,231
225,51035080100,1880
226,51035080200,1645
227,51035080300,186
228,51035080401,492
229,51035080402,175
230,51035080501,212
231,51035080502,325
232,51035080601,33
233,51035080603,240
234,51035080604,89
235,51036600100,962
236,51036600200,218
237,51036600300,491
238,51037930101,990
239,51037930102,375
240,51037930200,730
241,51037930300,463
242,51041100106,104
243,51041100107,5907
244,51041100206,831
245,51041100208,145
246,51041100209,1629
247,51041100210,1376
248,51041100211,264
249,51041100212,175
250,51041100300,2852
251,51041100403,16995
252,51041100404,413
253,51041100405,73
254,51041100406,366
255,51041100407,655
256,51041100409,2222
257,51041100410,430
258,51041100505,3292
259,51041100506,1451
260,51041100507,256
261,51041100508,478
262,51041100509,7713
263,51041100510,328
264,51041100600,1027
265,51041100701,371
266,51041100702,51
267,51041100704,208
268,51041100705,193
269,51041100804,545
270,51041100805,457
271,51041100806,1260
272,51041100807,147
273,51041100812,1425
274,51041100814,347
275,51041100815,157
276,51041100816,73
277,51041100817,13119
278,51041100818,196
279,51041100819,530
280,51041100820,2368
281,51041100821,1403
282,51041100822,2740
283,51041100823,1231
284,51041100902,1023
285,51041100907,1763
286,51041100910,406
287,51041100912,1709
288,51041100915,3608
289,51041100919,5060
290,51041100920,7237
291,51041100921,401
292,51041100922,8654
293,51041100923,1145
294,51041100924,3222
295,51041100926,1620
296,51041100928,3307
297,51041100929,821
298,51041100930,932
299,51041100931,2718
300,51041100932,130
301,51041100933,260
302,51041100934,1661
303,51041100935,743
304,51041100936,507
305,51041100937,1642
306,51041100938,404
307,51041101003,431
308,51041101004,562
309,51041101007,2048
310,51041101008,743
311,51041101009,1342
312,51041101011,555
313,51041101012,2672
314,51041101013,161
315,51041101014,106
316,51041101015,771
317,51043010101,1889
318,51043010102,351
319,51043010200,528
320,51043010300,153
321,51045050100,616
322,51047930101,329
323,51047930103,184
324,51047930104,170
325,51047930202,551
326,51047930203,542
327,51047930204,1206
328,51047930300,5284
329,51047930400,2917
330,51047930501,873
331,51047930502,3168
332,51049930101,161
333,51049930102,598
334,51049930200,425
335,51051040100,506
336,51051040200,511
337,51051040300,1523
338,51051040400,824
339,51053840101,82
340,51053840102,212
341,51053840200,2148
342,51053840300,2178
343,51053840400,1190
344,51053840500,1295
345,51053840601,1259
346,51053840602,391
347,51053980100,335
348,51057950600,306
349,51057950700,2529
350,51057950800,128
351,51059415100,1159
352,51059415200,865
353,51059415300,283
354,51059415401,442
355,51059415402,287
356,51059415500,2016
357,51059415600,83
358,51059415700,90
359,51059415800,200
360,51059415900,477
361,51059416000,552
362,51059416100,626
363,51059416200,1822
364,51059416300,581
365,51059420100,310
366,51059420201,346
367,51059420202,66
368,51059420203,506
369,51059420300,327
370,51059420400,549
371,51059420501,9
372,51059420502,169
373,51059420503,308
374,51059420600,725
375,51059420700,140
376,51059420800,114
377,51059421001,3986
378,51059421002,4351
379,51059421101,1581
380,51059421102,225
381,51059421103,2220
382,51059421200,105
383,51059421300,249
384,51059421400,1408
385,51059421500,1847
386,51059421600,200
387,51059421701,48
388,51059421702,52
389,51059421800,536
390,51059421900,1017
391,51059422000,4502
392,51059422101,619
393,51059422102,2196
394,51059422201,249
395,51059422202,712
396,51059422301,380
397,51059422302,2291
398,51059422401,26
399,51059422402,754
400,51059422403,114
401,51059430101,1011
402,51059430102,283
403,51059430201,103
404,51059430202,568
405,51059430203,56
406,51059430400,2516
407,51059430500,44
408,51059430600,2805
409,51059430700,687
410,51059430801,880
411,51059430802,295
412,51059430901,1189
413,51059430902,398
414,51059431001,1177
415,51059431002,20
416,51059431300,229
417,51059431400,164
418,51059431500,300
419,51059431601,900
420,51059431602,1541
421,51059431801,209
422,51059431802,900
423,51059431900,79
424,51059432000,1196
425,51059432100,113
426,51059432201,992
427,51059432202,442
428,51059432300,237
429,51059432401,109
430,51059432402,102
431,51059432500,328
432,51059432600,308
433,51059432701,67
434,51059432702,563
435,51059432800,5771
436,51059440100,1090
437,51059440201,9442
438,51059440202,13674
439,51059440300,615
440,51059440501,323
441,51059440503,5279
442,51059440504,1562
443,51059440505,68
444,51059440600,1285
445,51059440701,133
446,51059440702,110
447,51059440800,1489
448,51059450100,3248
449,51059450200,444
450,51059450300,1294
451,51059450400,989
452,51059450500,227
453,51059450601,2737
454,51059450602,423
455,51059450701,360
456,51059450702,1982
457,51059450800,790
458,51059450900,28
459,51059451000,205
460,51059451100,49
461,51059451200,172
462,51059451300,407
463,51059451400,1042
464,51059451501,1552
465,51059451502,2801
466,51059451601,901
467,51059451602,38
468,51059451800,447
469,51059451900,1278
470,51059452000,1649
471,51059452101,1295
472,51059452102,1152
473,51059452200,1484
474,51059452301,195
475,51059452302,182
476,51059452400,928
477,51059452501,43028
478,51059452502,759
479,51059452600,3446
480,51059452700,769
481,51059452801,1584
482,51059452802,188
483,51059460100,306
484,51059460200,253
485,51059460300,138
486,51059460400,6875
487,51059460501,9770
488,51059460503,514
489,51059460504,1040
490,51059460600,457
491,51059460701,172
492,51059460702,1178
493,51059460800,5480
494,51059460900,1215
495,51059461000,1190
496,51059461100,1013
497,51059461201,751
498,51059461202,6339
499,51059461500,441
500,51059461603,1370
501,51059461604,684
502,51059461605,5713
503,51059461606,2287
504,51059461700,1406
505,51059461801,22
506,51059461802,4450
507,51059461901,352
508,51059461902,15
509,51059470100,349
510,51059470300,284
511,51059470400,1661
512,51059470500,2892
513,51059470600,814
514,51059470700,1622
515,51059470800,165
516,51059470900,609
517,51059471000,61
518,51059471100,1195
519,51059471201,1152
520,51059471203,82
521,51059471204,10274
522,51059471301,1220
523,51059471303,214
524,51059471304,345
525,51059471401,77
526,51059471402,598
527,51059480100,660
528,51059480201,1346
529,51059480203,2749
530,51059480204,12690
531,51059480205,33076
532,51059480301,348
533,51059480302,2711
534,51059480401,879
535,51059480402,763
536,51059480501,293
537,51059480502,297
538,51059480503,149
539,51059480504,397
540,51059480505,641
541,51059480801,1380
542,51059480802,2792
543,51059480901,1251
544,51059480902,8074
545,51059480903,4975
546,51059481000,250
547,51059481101,6573
548,51059481102,175
549,51059481103,657
550,51059481104,169
551,51059481105,704
552,51059481106,597
553,51059481201,2433
554,51059481202,7737
555,51059481400,591
556,51059481500,96
557,51059481600,287
558,51059481701,312
559,51059481702,207
560,51059481900,5905
561,51059482001,279
562,51059482002,200
563,51059482100,222
564,51059482201,441
565,51059482203,22111
566,51059482204,639
567,51059482205,8706
568,51059482206,504
569,51059482301,4530
570,51059482302,155
571,51059482303,135
572,51059482400,8048
573,51059482502,122
574,51059482503,893
575,51059482504,518
576,51059482505,7768
577,51059482506,10850
578,51059482507,4524
579,51059482601,1150
580,51059482603,3609
581,51059482604,409
582,51059490101,8241
583,51059490104,14310
584,51059490105,18615
585,51059490501,667
586,51059490502,903
587,51059491000,280
588,51059491101,149
589,51059491102,133
590,51059491103,114
591,51059491201,861
592,51059491202,2254
593,51059491301,916
594,51059491302,941
595,51059491303,1267
596,51059491401,1016
597,51059491402,88
598,51059491403,246
599,51059491404,110
600,51059491405,156
601,51059491501,602
602,51059491502,538
603,51059491601,2477
604,51059491602,194
605,51059491701,5254
606,51059491703,14347
607,51059491704,2686
608,51059491705,806
609,51059491706,7736
610,51059491707,826
611,51059491801,2015
612,51059491802,609
613,51059491803,1374
614,51059492000,1093
615,51059492100,485
616,51059492201,735
617,51059492202,312
618,51059492203,637
619,51059492300,86
620,51059492400,126
621,51059492500,893
622,51059980100,910
623,51059980200,232
624,51059980300,79
625,51061930101,1173
626,51061930102,970
627,51061930203,321
628,51061930204,263
629,51061930205,157
630,51061930206,451
631,51061930207,782
632,51061930303,1458
633,51061930304,348
634,51061930305,7767
635,51061930306,601
636,51061930401,1593
637,51061930402,446
638,51061930404,383
639,51061930405,1651
640,51061930703,109
641,51061930704,398
642,51061930705,946
643,51061930706,457
644,51061930707,189
645,51063920102,1179
646,51063920103,346
647,51063920104,1527
648,51063920201,227
649,51063920202,178
650,51065020101,2392
651,51065020103,204
652,51065020104,586
653,51065020200,725
654,51065020300,409
655,51067020102,212
656,51067020103,135
657,51067020104,516
658,51067020200,1291
659,51067020301,302
660,51067020302,963
661,51067020400,2525
662,51067020501,1118
663,51067020502,358
664,51067020600,400
665,51067020701,160
666,51067020702,351
667,51067020801,5145
668,51067020802,695
669,51067020901,247
670,51067020902,203
671,51069050100,1720
672,51069050200,1386
673,51069050300,790
674,51069050401,52
675,51069050402,144
676,51069050500,1256
677,51069050600,397
678,51069050700,1067
679,51069050801,612
680,51069050804,558
681,51069050805,975
682,51069050806,135
683,51069050807,61
684,51069050900,7291
685,51069051001,169
686,51069051002,271
687,51069051102,5574
688,51069051103,313
689,51069051104,41
690,51071930100,307
691,51071930200,498
692,51071930300,2008
693,51071930400,1015
694,51073100101,389
695,51073100102,171
696,51073100201,253
697,51073100202,1565
698,51073100203,4128
699,51073100301,1159
700,51073100302,455
701,51073100400,397
702,51073100500,164
703,51075400101,11664
704,51075400102,5493
705,51075400200,1004
706,51075400300,629
707,51075400400,1694
708,51075400500,187
709,51077060101,97
710,51077060102,208
711,51077060201,1442
712,51077060202,393
713,51077060300,111
714,51079030101,1340
715,51079030102,357
716,51079030201,1085
717,51079030202,920
718,51081880101,1575
719,51081880102,685
720,51081880200,383
721,51083930100,123
722,51083930202,60
723,51083930203,82
724,51083930204,24
725,51083930301,707
726,51083930302,2358
727,51083930400,585
728,51083930500,450
729,51083930601,734
730,51083930602,3475
731,51083930800,1740
732,51085320100,1707
733,51085320200,1064
734,51085320300,733
735,51085320400,6728
736,51085320500,409
737,51085320601,6307
738,51085320602,4394
739,51085320701,251
740,51085320702,809
741,51085320801,7848
742,51085320803,1231
743,51085320804,1257
744,51085320805,283
745,51085320901,909
746,51085320902,7147
747,51085321001,1355
748,51085321003,1158
749,51085321004,154
750,51085321100,3893
751,51085321201,3047
752,51085321202,403
753,51085321300,1958
754,51085321401,169
755,51085321402,257
756,51085321403,187
757,51087200106,1252
758,51087200108,840
759,51087200109,355
760,51087200122,773
761,51087200123,211
762,51087200124,1077
763,51087200125,125
764,51087200126,1718
765,51087200127,1193
766,51087200131,5287
767,51087200132,654
768,51087200133,233
769,51087200134,817
770,51087200135,368
771,51087200136,920
772,51087200137,91
773,51087200138,748
774,51087200139,171
775,51087200140,4492
776,51087200141,2534
777,51087200142,744
778,51087200143,138
779,51087200144,3991
780,51087200145,189
781,51087200146,194
782,51087200147,537
783,51087200148,3970
784,51087200149,1055
785,51087200150,18639
786,51087200151,13538
787,51087200152,339
788,51087200153,1807
789,51087200201,635
790,51087200202,590
791,51087200301,4797
792,51087200302,7183
793,51087200303,8055
794,51087200305,4330
795,51087200404,2600
796,51087200407,2179
797,51087200409,5460
798,51087200411,343
799,51087200412,1018
800,51087200413,590
801,51087200414,185
802,51087200415,252
803,51087200416,489
804,51087200417,1083
805,51087200418,843
806,51087200501,7769
807,51087200502,12875
808,51087200503,6786
809,51087200600,153
810,51087200700,1836
811,51087200801,5494
812,51087200802,796
813,51087200805,2600
814,51087200806,36
815,51087200807,192
816,51087200904,3443
817,51087200905,1645
818,51087200906,180
819,51087200907,4340
820,51087200908,2275
821,51087201001,567
822,51087201002,1079
823,51087201003,523
824,51087201102,190
825,51087201103,154
826,51087201104,8231
827,51087201203,193
828,51087201204,241
829,51087201205,1788
830,51087201206,69
831,51087201403,405
832,51087201404,1551
833,51087201405,741
834,51087201406,6317
835,51087201502,1260
836,51087201503,137
837,51087201504,5531
838,51087201601,185
839,51087201602,1781
840,51087201701,612
841,51087980100,1604
842,51089010100,1347
843,51089010200,2598
844,51089010300,3539
845,51089010400,300
846,51089010500,158
847,51089010601,635
848,51089010602,2087
849,51089010700,332
850,51089010800,458
851,51089010900,108
852,51089011000,239
853,51089011100,2010
854,51089011200,145
855,51089011300,529
856,51091970100,372
857,51093280101,2388
858,51093280104,345
859,51093280105,2028
860,51093280106,782
861,51093280107,468
862,51093280108,392
863,51093280200,389
864,51093280300,2651
865,51093280400,453
866,51095080102,2420
867,51095080103,2210
868,51095080104,1629
869,51095080202,1726
870,51095080203,689
871,51095080205,4251
872,51095080207,380
873,51095080208,63
874,51095080209,1490
875,51095080304,576
876,51095080305,2120
877,51095080306,1841
878,51095080307,613
879,51095080308,327
880,51095080402,2511
881,51095080403,1265
882,51095080404,304
883,51097950400,662
884,51097950500,417
885,51099040100,2451
886,51099040200,637
887,51099040301,564
888,51099040302,491
889,51099040400,1504
890,51099040500,266
891,51101950101,1473
892,51101950102,572
893,51101950200,343
894,51101950300,1503
895,51103030100,462
896,51103030200,2585
897,51103030301,357
898,51103030302,833
899,51105950100,315
900,51105950200,200
901,51105950301,1165
902,51105950302,327
903,51105950400,321
904,51105950500,971
905,51105950600,232
906,51107610101,417
907,51107610102,398
908,51107610201,855
909,51107610202,470
910,51107610300,878
911,51107610400,2854
912,51107610503,2349
913,51107610504,1173
914,51107610505,5073
915,51107610506,3905
916,51107610507,551
917,51107610601,811
918,51107610602,747
919,51107610603,1444
920,51107610604,3653
921,51107610701,738
922,51107610702,3289
923,51107610703,629
924,51107610800,1032
925,51107610900,1512
926,51107611002,5142
927,51107611004,1514
928,51107611005,880
929,51107611006,5402
930,51107611009,814
931,51107611010,220
932,51107611011,848
933,51107611012,1493
934,51107611013,345
935,51107611014,1374
936,51107611015,4016
937,51107611016,595
938,51107611017,254
939,51107611018,2268
940,51107611019,2415
941,51107611020,14127
942,51107611022,676
943,51107611023,6741
944,51107611026,1675
945,51107611027,314
946,51107611028,664
947,51107611029,721
948,51107611030,633
949,51107611031,190
950,51107611032,95
951,51107611101,135
952,51107611102,1555
953,51107611202,512
954,51107611204,223
955,51107611205,855
956,51107611206,245
957,51107611207,2119
958,51107611208,278
959,51107611209,543
960,51107611300,1143
961,51107611400,212
962,51107611501,7451
963,51107611502,5817
964,51107611601,6282
965,51107611602,336
966,51107611701,995
967,51107611702,6619
968,51107611803,631
969,51107611804,2789
970,51107611805,277
971,51107611807,1687
972,51107611808,600
973,51107611809,354
974,51107611810,423
975,51107611811,1145
976,51107611812,2427
977,51107611813,1179
978,51107611901,5568
